Task Name,Parent Task,Description,Status,Priority,Tags,Start Date,Due Date,Time Estimate,List Name
Phase 6: Testing & QA,,"Verify functionality, security fixes, and payment flow end-to-end before final submission.",In Progress,High,"phase,testing",2026-09-09,2026-09-16,,Online Computer Store - Capstone WBS
6.1 End-to-end Stripe test-mode transaction,Phase 6: Testing & QA,"Full checkout completed with Stripe test card, order confirmed as Paid with correct PaymentReference. Verified working.",Complete,Urgent,"testing,payments",2026-09-09,2026-09-09,2h,Online Computer Store - Capstone WBS
6.2 Verify admin access control,Phase 6: Testing & QA,"Verified by code audit: AdminController carries one class-level [Authorize(Roles=""Admin"")] covering every action (Products, UpdateStock, Orders, Dashboard, AuditLog, ExportOrdersCsv, etc.), and a pass over the remaining controllers found no admin-only action left unguarded elsewhere.",Complete,High,"testing,security",2026-09-10,2026-09-11,2h,Online Computer Store - Capstone WBS
6.3 Verify order-tracking email check,Phase 6: Testing & QA,"Verified by code audit: OrdersController.Track rejects a blank email, requires a case-insensitive match against the order's stored email before showing any details, and returns one generic error either way so the response can't be used to enumerate order IDs.",Complete,High,"testing,security",2026-09-10,2026-09-11,1h,Online Computer Store - Capstone WBS
6.4 Unit tests for core services,Phase 6: Testing & QA,"OrderService is now covered (OnlineComputerStore.Tests project, including low-stock-alert behavior) after a constructor-signature break was fixed with a hand-written FakeEmailService test double. CartService, UserService, and StripePaymentService still need tests.",In Progress,Normal,"testing,unit-tests",2026-09-09,2026-09-15,1d,Online Computer Store - Capstone WBS
6.5 Cross-browser / responsive UI pass,Phase 6: Testing & QA,"Done as a static/code-level review (no live browser environment available): confirmed the viewport meta tag, Bootstrap's mobile nav collapse, and grid classes throughout are correct; found and fixed one real mobile bug (assistant chat panel could overflow off-screen on narrow phones) plus two responsive rough edges (navbar search width, hero heading scaling). A final manual click-through on an actual phone/desktop before submission is still recommended.",Complete,Low,"testing,ui",2026-09-14,2026-09-16,4h,Online Computer Store - Capstone WBS
Phase 7: Legacy System Remediation,,Address the separate legacy ASP.NET Web Forms prototype so it's never mistaken for the real project.,Complete,Normal,"phase,legacy,security",2026-09-10,2026-09-20,,Online Computer Store - Capstone WBS
7.1 Audit legacy Web Forms Checkout.aspx,Phase 7: Legacy System Remediation,"Re-audited against the actual current code (not assumption): the legacy Checkout.aspx does NOT collect card details - it only asks for name/address/phone and explicitly tells the visitor payment isn't collected online. Real findings instead: a hardcoded admin/password login, a Register page that doesn't create an account, a Track Order page that only matches one hardcoded ID, and a placeholder (non-real) SMTP password in Web.config.",Complete,High,"legacy,audit",2026-09-09,2026-09-09,1h,Online Computer Store - Capstone WBS
7.2 Decide remediation path for legacy prototype,Phase 7: Legacy System Remediation,"Decision: retire, don't repair. It's a throwaway UI sketch that predates this project and isn't part of this solution - patching its fake login/registration/tracking to ""work"" would be effort spent on a codebase this project doesn't use.",Complete,Normal,"legacy,decision",2026-09-10,2026-09-12,1h,Online Computer Store - Capstone WBS
7.3 Implement legacy remediation,Phase 7: Legacy System Remediation,"Added a README.md at the root of the legacy folder documenting exactly what's fake in it and recommending it be kept out of the GitHub repository pushed for this project (or pushed only to a clearly separate, clearly labeled archive repo if kept for history).",Complete,Normal,"legacy,implementation",2026-09-13,2026-09-20,1d,Online Computer Store - Capstone WBS
Phase 8: Documentation,,"Produce README, technical documentation, and project planning artifacts for submission.",In Progress,High,"phase,documentation",2026-09-09,2026-09-23,,Online Computer Store - Capstone WBS
8.1 Write README (setup & configuration),Phase 8: Documentation,"Covers running the project in Visual Studio, database provider config, AI/SMTP/Stripe config and secrets (user-secrets + environment variables), feature overview, folder structure, running tests, known simplifications. Revised to reflect every feature shipped through Phase 10.",Complete,High,documentation,2026-09-09,2026-09-10,3h,Online Computer Store - Capstone WBS
8.2 Write technical documentation,Phase 8: Documentation,"Architecture, data model, security model, store-operations and customer-experience feature reference, deployment notes for the final report appendix. Revised to cover all Phase 10 additions.",Complete,High,documentation,2026-09-09,2026-09-10,4h,Online Computer Store - Capstone WBS
8.3 Produce Work Breakdown Structure,Phase 8: Documentation,"This WBS - phases, tasks, estimates, and dependencies, exported for ClickUp. Revised to add Phase 10 (post-MVP feature enhancements).",Complete,Normal,"documentation,planning",2026-09-09,2026-09-10,2h,Online Computer Store - Capstone WBS
8.4 GitHub publish readiness,Phase 8: Documentation,"Confirmed no real secrets will be committed (appsettings.json is git-ignored and contains the only real values; appsettings.example.json, the file that IS committed, holds only placeholders); added a ""Publishing this to GitHub"" section to README.md with exact git init/add/commit/push steps and a pre-push secrets check.",Complete,Normal,"documentation,git",2026-09-11,2026-09-11,1h,Online Computer Store - Capstone WBS
8.5 Prepare Final Project Report (40%),Phase 8: Documentation,"Assemble the ITEC322 final report drawing on the README, technical documentation, and testing evidence.",To Do,Urgent,"documentation,assessment",2026-09-20,2026-10-14,3d,Online Computer Store - Capstone WBS
Phase 10: Feature Enhancements & Hardening,,"Post-MVP feature additions and security hardening delivered after the initial capstone build - store operations, customer experience, and secrets management improvements. All items verified building and running before being marked complete.",Complete,High,"phase,enhancement",2026-09-09,2026-09-10,,Online Computer Store - Capstone WBS
10.1 Account-linked persistent cart,Phase 10: Feature Enhancements & Hardening,"Guest cart merges into the account cart on login/register (CartService.MergeGuestCartIntoAccount); logging out snapshots it back to the session so the cart doesn't appear to empty.",Complete,Normal,"implementation,cart",2026-09-09,2026-09-09,2h,Online Computer Store - Capstone WBS
10.2 Product reviews & ratings,Phase 10: Feature Enhancements & Hardening,"ProductReview entity, one review per user per product, star rating summary shown on product detail pages.",Complete,Normal,"implementation,catalog",2026-09-09,2026-09-09,3h,Online Computer Store - Capstone WBS
10.3 Forgot password flow & login rate limiting,Phase 10: Feature Enhancements & Hardening,"PasswordResetToken-based reset links emailed via MailKit, single-use with 1-hour expiry; login rate-limited to 5 attempts per 5 minutes per IP.",Complete,High,"security,implementation",2026-09-09,2026-09-09,3h,Online Computer Store - Capstone WBS
10.4 Wishlist with sort & pagination,Phase 10: Feature Enhancements & Hardening,"Account-only wishlist (toggle/clear); Shop catalog given sort (name/price/brand) and pagination.",Complete,Normal,"implementation,catalog",2026-09-09,2026-09-09,3h,Online Computer Store - Capstone WBS
10.5 Admin dashboard & orders management,Phase 10: Feature Enhancements & Hardening,"Revenue/order-count/status-breakdown dashboard; filterable order list with status updates.",Complete,Normal,"implementation,admin",2026-09-09,2026-09-09,4h,Online Computer Store - Capstone WBS
10.6 Admin audit log & Clear All controls,Phase 10: Feature Enhancements & Hardening,"Every admin action logged (timestamp/admin/action/details); Audit Log page and personal Wishlist each get a Clear All / Clear Wishlist control, deliberately scoped to non-transactional data only (Orders/Products excluded as real business records).",Complete,Normal,"implementation,admin,security",2026-09-10,2026-09-10,3h,Online Computer Store - Capstone WBS
10.7 Email OTP verification at checkout,Phase 10: Feature Enhancements & Hardening,"A one-time code emailed and required before an order can be placed - an additional verification gate layered on top of the existing Stripe payment flow.",Complete,High,"security,checkout",2026-09-09,2026-09-09,3h,Online Computer Store - Capstone WBS
10.8 Store locations & admin stock restock UI,Phase 10: Feature Enhancements & Hardening,"Darling Harbour and Parramatta locations shown on the Contact page; Admin > Products gained an inline 'set exact stock' control for restocking out-of-stock items.",Complete,Normal,"implementation,admin,content",2026-09-09,2026-09-09,2h,Online Computer Store - Capstone WBS
10.9 Click & Collect fulfillment,Phase 10: Feature Enhancements & Hardening,"Checkout gained a Ship/Pickup choice; pickup orders record which store location; confirmation emails reflect the chosen method.",Complete,Normal,"implementation,checkout",2026-09-09,2026-09-09,3h,Online Computer Store - Capstone WBS
10.10 Low-stock email alerts,Phase 10: Feature Enhancements & Hardening,"Placing an order that drops a product to/below its stock threshold emails the store's own inbox listing the affected products.",Complete,Normal,"implementation,admin,email",2026-09-09,2026-09-09,2h,Online Computer Store - Capstone WBS
10.11 Customers also bought,Phase 10: Feature Enhancements & Hardening,"Product detail pages show real co-purchase suggestions computed from past order line items, alongside the existing AI-generated upsell text.",Complete,Low,"implementation,catalog",2026-09-09,2026-09-09,2h,Online Computer Store - Capstone WBS
10.12 Orders CSV export,Phase 10: Feature Enhancements & Hardening,Admin can download the (optionally status-filtered) order list as a CSV for use in Excel/Sheets.,Complete,Normal,"implementation,admin",2026-09-09,2026-09-09,1h,Online Computer Store - Capstone WBS
10.13 Branded HTML order confirmation email,Phase 10: Feature Enhancements & Hardening,"Order confirmation switched from plain text to a compact branded HTML email matching the site's colors, sent multipart/alternative with the original plain text kept as fallback; customer-supplied fields HTML-escaped.",Complete,Normal,"implementation,email",2026-09-10,2026-09-10,2h,Online Computer Store - Capstone WBS
10.14 Secrets hardening (user-secrets + environment variables),Phase 10: Feature Enhancements & Hardening,"Real SMTP/OpenAI/Stripe credentials moved out of appsettings.json into .NET user-secrets for local development, with environment-variable equivalents documented for production deployment; README updated accordingly.",Complete,High,"security,configuration",2026-09-10,2026-09-10,2h,Online Computer Store - Capstone WBS
10.15 Profile photos with click-to-enlarge,Phase 10: Feature Enhancements & Hardening,"Accounts can upload a profile photo (stored as a size-capped base64 data URL on the user row, not a file, so nothing is orphaned on account deletion); initials-circle fallback when unset; shown in the navbar and account pages, with a site-wide click-to-enlarge lightbox.",Complete,Normal,"implementation,accounts",2026-09-10,2026-09-10,4h,Online Computer Store - Capstone WBS
10.16 Trending This Week (real sales ranking),Phase 10: Feature Enhancements & Hardening,"Home and Shop show a sales-ranked Trending This Week shelf (units sold in the last 7 days, with a fallback ordering before a week of order history exists); Home's 2 items and Shop's 7 items are guaranteed never to overlap.",Complete,Normal,"implementation,catalog",2026-09-10,2026-09-10,3h,Online Computer Store - Capstone WBS
Phase 9: Presentations & Submission,,Deliver the group presentations and final submission for ITEC322.,To Do,Urgent,"phase,assessment",2026-09-24,2026-10-21,,Online Computer Store - Capstone WBS
9.1 Project Progress Presentation (30%),Phase 9: Presentations & Submission,"Present current build status, security fixes, and payment integration to date.",To Do,Urgent,"assessment,presentation",2026-09-24,2026-09-30,1d,Online Computer Store - Capstone WBS
9.2 Final Project Presentation (30%),Phase 9: Presentations & Submission,"Present the completed, tested storefront including the Stripe payment flow and security fixes.",To Do,Urgent,"assessment,presentation",2026-10-08,2026-10-14,1d,Online Computer Store - Capstone WBS
9.3 Final submission & deployment demo,Phase 9: Presentations & Submission,"Package the repository, README, documentation, and WBS; prepare a live or recorded demo.",To Do,Urgent,"assessment,submission",2026-10-15,2026-10-21,1d,Online Computer Store - Capstone WBS
Phase 11: Production Hardening & DevOps,,"CI/CD automation, security scanning, and UX/security polish added after the Phase 10 feature set.",Complete,High,"phase,devops,enhancement",2026-09-14,2026-09-15,,Online Computer Store - Capstone WBS
11.1 GitHub Actions build-and-test workflow,Phase 11: Production Hardening & DevOps,"build-and-test.yml restores/builds/tests the solution on every push and PR to main, plus manual dispatch; NuGet packages cached by csproj hash.",Complete,Normal,"devops,ci",2026-09-14,2026-09-14,2h,Online Computer Store - Capstone WBS
11.2 CodeQL security scanning,Phase 11: Production Hardening & DevOps,"codeql.yml runs a C# CodeQL analysis on every push/PR to main plus a weekly Monday scan, uploading results to the repo's Security tab.",Complete,Normal,"devops,security,ci",2026-09-15,2026-09-15,2h,Online Computer Store - Capstone WBS
11.3 Dependabot for NuGet & GitHub Actions,Phase 11: Production Hardening & DevOps,"dependabot.yml opens a weekly PR for outdated NuGet packages (EF Core, MailKit, Stripe SDK, xUnit) and for the GitHub Actions used in the two workflows above.",Complete,Low,"devops,maintenance",2026-09-15,2026-09-15,1h,Online Computer Store - Capstone WBS
11.4 Account menu redesign & theme toggle,Phase 11: Production Hardening & DevOps,"Header user menu rebuilt as an avatar+name dropdown (email, manage account, preferences, sign out); light/dark theme toggle added, remembered across visits with an OS-preference fallback and no flash-of-wrong-theme on load.",Complete,Normal,"implementation,ui",2026-09-15,2026-09-15,3h,Online Computer Store - Capstone WBS
11.5 Self-host Bootstrap Icons,Phase 11: Production Hardening & DevOps,"Bootstrap Icons vendored into wwwroot/lib instead of relying on a CDN, so header and admin audit-log icons don't depend on external network access.",Complete,Low,"implementation,ui",2026-09-15,2026-09-15,1h,Online Computer Store - Capstone WBS
11.6 Extend rate limiting to forgot-password,Phase 11: Production Hardening & DevOps,"Forgot-password endpoint rate-limited separately from login (3 attempts / 10 minutes per IP) since each request sends a real email; tighter than login because it can otherwise be used to spam an inbox or probe registered addresses.",Complete,Normal,"security,implementation",2026-09-15,2026-09-15,1h,Online Computer Store - Capstone WBS
11.7 Expand catalog with security & accessory products,Phase 11: Production Hardening & DevOps,"12 new products added across three new categories - MFA & Security Keys (YubiKey 5 NFC, Titan Security Key, VeriMark), Cybersecurity (diskAshur PRO2, ClickSafe lock, Privacy Filter), USB Drives (SanDisk Extreme PRO, IronKey Keypad 200, DataTraveler Max) - plus Chargers (Apple/Anker/Dell) - bringing the catalog from 15 to 27 items.",Complete,Normal,"implementation,catalog",2026-09-14,2026-09-15,3h,Online Computer Store - Capstone WBS
Phase 12: Critical Bug Remediation,,"A full static audit surfaced several severe defects introduced while the Phase 11 work was in flight - most critically, every page on the site had silently stopped using the shared layout. All are fixed and verified by static re-audit (no live build/test available in the audit environment - NuGet was network-blocked there).",Complete,Urgent,"phase,bugfix,security",2026-09-15,2026-09-15,,Online Computer Store - Capstone WBS
12.1 Restore missing Views/_ViewStart.cshtml,Phase 12: Critical Bug Remediation,"Views/_ViewStart.cshtml (the file that applies _Layout.cshtml to every page) had gone missing and no view set Layout itself, so every page would have rendered as a bare unstyled fragment with no header, nav, or footer. Highest-severity finding of the audit; restored from a prior working copy.",Complete,Urgent,"bugfix,critical",2026-09-15,2026-09-15,1h,Online Computer Store - Capstone WBS
12.2 Restore missing wwwroot assets,Phase 12: Critical Bug Remediation,"wwwroot/images/ (all 27 product photos + 2 hero banners), jQuery, jQuery Validation, Bootstrap's JS bundle, and assistant.js had all gone missing from wwwroot/lib and wwwroot/js, breaking every product image, client-side form validation, dropdown/navbar JS, and the on-site assistant widget. All restored and version-matched.",Complete,Urgent,"bugfix,critical",2026-09-15,2026-09-15,2h,Online Computer Store - Capstone WBS
12.3 Restore missing partial views,Phase 12: Critical Bug Remediation,"Views/Shared/_ValidationScriptsPartial.cshtml (called by 11 forms including login/register/checkout - would have thrown at runtime) and Views/Shared/Error.cshtml (the production error-handler's own view) were both missing entirely. Restored.",Complete,Urgent,"bugfix,critical",2026-09-15,2026-09-15,1h,Online Computer Store - Capstone WBS
12.4 Close site-wide CSRF gap,Phase 12: Critical Bug Remediation,"Only CheckoutController validated anti-forgery tokens; login, register, cart, wishlist, contact, and every admin action accepted POSTs without checking the token the forms already sent. Fixed with one global AutoValidateAntiforgeryTokenAttribute filter in Program.cs, with AssistantController.Ask (a same-origin JSON fetch) explicitly exempted.",Complete,Urgent,"bugfix,security",2026-09-15,2026-09-15,2h,Online Computer Store - Capstone WBS
12.5 Initialize a real Git repository,Phase 12: Critical Bug Remediation,"The .git folder was a broken stub (a HEAD file with no objects/refs) rather than a real repository. Replaced with a proper git init and an initial commit; confirmed appsettings.json still stays untracked.",Complete,Normal,"bugfix,git",2026-09-15,2026-09-15,1h,Online Computer Store - Capstone WBS
12.6 Update README for accuracy,Phase 12: Critical Bug Remediation,"README.md updated to reflect the true 27-item catalog (was still stating 15), the new CI/CD and security additions, and the CSRF/rate-limiting posture; stale 'not yet a Git repository' line corrected.",Complete,Normal,"documentation",2026-09-15,2026-09-15,1h,Online Computer Store - Capstone WBS
Phase 13: Not on Website — Missing Product Alerts,,"New store-operations feature: when a customer search comes up empty, the miss is logged and, once a term is clearly a pattern rather than a one-off, the admin is emailed so the item can be sourced and listed.",Complete,High,"phase,enhancement,feature",2026-09-15,2026-09-15,,Online Computer Store - Capstone WBS
13.1 Data model & EF Core migration for ProductRequest,Phase 13: Not on Website — Missing Product Alerts,"Hand-written EF Core migration (AddProductRequests) adds a ProductRequests table (SearchTerm, TimesSearched, FirstSearchedAt, LastSearchedAt, Resolved) tracking searches that return zero catalog matches.",Complete,High,"database,migration",2026-09-15,2026-09-15,2h,Online Computer Store - Capstone WBS
13.2 Search-miss logging service with dedup,Phase 13: Not on Website — Missing Product Alerts,"ProductRequestService.LogAsync records a new row on the first miss for a term and increments TimesSearched (case-insensitive match) on repeats, instead of creating a duplicate row per search.",Complete,High,implementation,2026-09-15,2026-09-15,2h,Online Computer Store - Capstone WBS
13.3 Threshold-based admin email alert,Phase 13: Not on Website — Missing Product Alerts,"SendProductRequestAlertAsync emails the store's own inbox once a search term crosses 2 searches, rather than on every miss — fires exactly once per term so one popular missing item doesn't spam the inbox.",Complete,Normal,"email,implementation",2026-09-15,2026-09-15,1h,Online Computer Store - Capstone WBS
13.4 Admin ""Not on Website"" page,Phase 13: Not on Website — Missing Product Alerts,"New Admin > Not on Website page lists unresolved search misses with a search-count badge (highlighted once a term has crossed the alert threshold), a per-row Handled action, and a Clear All action; linked from the Admin nav dropdown.",Complete,Normal,"implementation,admin,ui",2026-09-15,2026-09-15,2h,Online Computer Store - Capstone WBS
13.5 Customer-facing no-results messaging,Phase 13: Not on Website — Missing Product Alerts,"Search results page's empty state now tells the customer their search was noted for the team to look into, instead of a bare 'no results' message.",Complete,Low,"implementation,ui",2026-09-15,2026-09-15,30m,Online Computer Store - Capstone WBS
13.6 Fix FakeEmailService test double after interface change,Phase 13: Not on Website — Missing Product Alerts,"Adding SendProductRequestAlertAsync to IEmailService broke the build via OnlineComputerStore.Tests' FakeEmailService, which hadn't been updated to implement the new interface member. Found and fixed the same day.",Complete,Normal,"bugfix,testing",2026-09-15,2026-09-15,30m,Online Computer Store - Capstone WBS
